,0
0,0.0
1,4e-08
2,8e-08
3,1.2e-07
4,1.599999999999999e-07
5,1.9999999999999989e-07
6,2.399999999999999e-07
7,2.799999999999999e-07
8,3.199999999999999e-07
9,3.5999999999999984e-07
10,3.999999999999999e-07
11,4.3999999999999986e-07
12,4.799999999999999e-07
13,5.199999999999999e-07
14,5.599999999999998e-07
15,5.999999999999998e-07
16,6.399999999999997e-07
17,6.799999999999998e-07
18,7.199999999999998e-07
19,7.599999999999997e-07
20,7.999999999999998e-07
21,8.399999999999998e-07
22,8.799999999999997e-07
23,9.199999999999997e-07
24,9.599999999999997e-07
25,9.999999999999997e-07
26,1.0399999999999998e-06
27,1.0799999999999996e-06
28,1.1199999999999997e-06
29,1.1599999999999997e-06
30,1.1999999999999997e-06
31,1.2399999999999998e-06
32,1.2799999999999996e-06
33,1.3199999999999996e-06
34,1.3599999999999997e-06
35,1.3999999999999997e-06
36,1.4399999999999998e-06
37,1.4799999999999996e-06
38,1.5199999999999996e-06
39,1.5599999999999997e-06
40,1.5999999999999995e-06
41,1.6399999999999995e-06
42,1.6799999999999992e-06
43,1.7199999999999988e-06
44,1.7599999999999992e-06
45,1.7999999999999989e-06
46,1.8399999999999993e-06
47,1.879999999999999e-06
48,1.9199999999999994e-06
49,1.959999999999999e-06
50,1.9999999999999995e-06
51,2.039999999999999e-06
52,2.0799999999999996e-06
53,2.119999999999999e-06
54,2.1599999999999996e-06
55,2.1999999999999993e-06
56,2.2399999999999997e-06
57,2.2799999999999993e-06
58,2.32e-06
59,2.3599999999999994e-06
60,2.399999999999999e-06
61,2.4399999999999995e-06
62,2.479999999999999e-06
63,2.5199999999999996e-06
64,2.559999999999999e-06
65,2.5999999999999997e-06
66,2.6399999999999993e-06
67,2.679999999999999e-06
68,2.7199999999999994e-06
69,2.759999999999999e-06
70,2.7999999999999994e-06
71,2.839999999999999e-06
72,2.879999999999999e-06
73,2.919999999999999e-06
74,2.959999999999999e-06
75,2.9999999999999992e-06
76,3.0399999999999993e-06
77,3.079999999999999e-06
78,3.1199999999999994e-06
79,3.159999999999999e-06
80,3.1999999999999994e-06
81,3.239999999999999e-06
82,3.2799999999999995e-06
83,3.319999999999999e-06
84,3.3599999999999987e-06
85,3.399999999999999e-06
86,3.439999999999999e-06
87,3.4799999999999993e-06
88,3.519999999999999e-06
89,3.559999999999999e-06
90,3.599999999999999e-06
91,3.639999999999999e-06
92,3.679999999999999e-06
93,3.719999999999999e-06
94,3.7599999999999987e-06
95,3.799999999999999e-06
96,3.839999999999999e-06
97,3.879999999999999e-06
98,3.919999999999999e-06
99,3.959999999999999e-06
100,3.999999999999999e-06
101,4.039999999999999e-06
102,4.079999999999999e-06
103,4.1199999999999995e-06
104,4.159999999999999e-06
105,4.199999999999999e-06
106,4.239999999999999e-06
107,4.28e-06
108,4.319999999999999e-06
109,4.359999999999999e-06
110,4.3999999999999985e-06
111,4.439999999999999e-06
112,4.4799999999999995e-06
113,4.519999999999999e-06
114,4.559999999999999e-06
115,4.599999999999999e-06
116,4.639999999999999e-06
117,4.679999999999999e-06
118,4.719999999999999e-06
119,4.7599999999999985e-06
120,4.799999999999999e-06
121,4.8399999999999986e-06
122,4.879999999999999e-06
123,4.919999999999999e-06
124,4.959999999999999e-06
125,4.999999999999999e-06
126,5.039999999999999e-06
127,5.079999999999999e-06
128,5.119999999999998e-06
129,5.159999999999999e-06
130,5.199999999999999e-06
131,5.239999999999999e-06
132,5.2799999999999986e-06
133,5.319999999999999e-06
134,5.359999999999999e-06
135,5.399999999999999e-06
136,5.439999999999999e-06
137,5.479999999999998e-06
138,5.519999999999999e-06
139,5.5599999999999984e-06
140,5.599999999999999e-06
141,5.6399999999999985e-06
142,5.679999999999999e-06
143,5.719999999999999e-06
144,5.759999999999999e-06
145,5.799999999999999e-06
