S,Score (Kca/mol),RMSD l.b.,RMSD u.b.
V,-4.1,0,0
V,-4.1,0.168,5.745
V,-3.9,3.51,5.17
V,-3.8,3.493,6.339
V,-3.8,1.543,6.047
V,-3.8,9.914,11.553
V,-3.8,2.486,3.816
V,-3.7,6.063,6.977
V,-3.6,4.042,6.614
V,-3.5,2.083,2.907
