S,Score (Kca/mol),RMSD l.b.,RMSD u.b.
V,-4.6,0,0
V,-4.6,2.168,7.17
V,-4.5,2.178,3.412
V,-4.5,16.809,18.232
V,-4.3,4.211,7.276
V,-4.3,9.597,11.027
V,-4.2,20.23,23.879
V,-4.2,3.009,6.359
V,-4.1,16.482,18.594
V,-4,2.009,5.974
