S,Score (Kca/mol),RMSD l.b.,RMSD u.b.
V,-4.4,0,0
V,-4.3,3.485,7.079
V,-4.2,2.273,3.15
V,-4.2,18.378,21.908
V,-4.2,3.511,7.25
V,-4.2,17.77,20.001
V,-4.1,4.903,7.471
V,-4.1,1.606,2.085
V,-4,18.261,19.567
V,-4,2.695,6.932
